id_cliente,idade,tempo_de_contrato_meses,frequencia_uso_mensal,ultimo_login_dias,suporte_chamados_abertos,uso_funcionalidades_premium,interacao_emails_marketing,plano,pagamento_em_dia,avaliacao_satisfacao,regiao,tempo_total_login_horas,navegador_usado,hora_ultimo_acesso,churn,codigo_cliente,constante
1,56,36,1,55,2,0.4223344073796991,1,Premium,0,2.2,Nordeste,27.78044725989356,Safari,17,0,C00001,1
2,69,6,20,57,1,0.8044003063797441,2,Basic,1,2.4,Norte,47.69778155208486,Edge,18,0,C00002,1
3,46,16,3,52,4,0.16844818045496324,8,Premium,1,3.3,Centro-Oeste,58.62967862261198,Edge,19,0,C00003,1
4,32,29,27,28,3,0.43689329424131185,7,Premium,1,4.5,Sul,74.35243484547847,Firefox,20,0,C00004,1
5,60,36,18,38,1,0.1855247941543966,3,Basic,1,5.0,Sul,33.27262641171439,Firefox,7,0,C00005,1
6,25,38,20,58,0,0.818117675966149,4,Premium,1,1.1,Nordeste,2.7959427963515555,Safari,9,0,C00006,1
7,38,37,15,51,2,0.5228405924056077,3,Standard,1,2.8,Sudeste,10.256430919605808,Edge,20,1,C00007,1
8,56,48,21,57,3,0.5783735481870703,4,Standard,1,4.8,Nordeste,2.5575620351021633,Chrome,18,0,C00008,1
9,36,57,16,21,1,0.7475485674018437,0,Standard,0,2.2,Norte,36.19743434948202,Firefox,8,0,C00009,1
10,40,48,1,28,3,0.939703432664139,1,Standard,1,1.3,Sudeste,43.51661642009762,Firefox,1,0,C00010,1
11,28,10,16,59,3,0.10579893027816645,1,Standard,1,3.2,Nordeste,1.167605844197495,Chrome,10,0,C00011,1
12,28,41,18,45,3,0.8455535694100279,4,Premium,1,4.7,Nordeste,17.729541516446687,Chrome,2,0,C00012,1
13,41,36,7,9,0,0.4742286700121505,1,Premium,0,3.7,Sul,127.40793598357827,Firefox,5,0,C00013,1
14,53,29,23,19,2,0.6405000623230723,0,Premium,1,4.7,Norte,2.642105541864117,Firefox,10,1,C00014,1
15,57,14,19,15,3,0.8527757131866426,9,Basic,1,5.0,Sudeste,33.06203434821168,Chrome,11,0,C00015,1
16,41,4,5,5,1,0.32665196647165085,4,Standard,0,4.7,Sul,55.57208164388692,Chrome,13,0,C00016,1
17,20,44,11,16,0,0.8695308401331007,1,Premium,1,4.9,Sul,17.262747898701285,Safari,6,0,C00017,1
18,39,56,24,5,0,0.6314176043177556,1,Basic,1,1.9,Centro-Oeste,114.5939338032569,Safari,10,0,C00018,1
19,19,42,29,21,3,0.27901055633006766,0,Basic,1,3.0,Norte,7.947665927490885,Edge,4,1,C00019,1
20,41,36,22,17,1,0.9197929130326054,9,Standard,1,2.5,Sul,59.0622677237552,Firefox,12,0,C00020,1
21,61,50,17,31,1,0.057834568469520176,2,Premium,1,3.1,Centro-Oeste,26.85153873267785,Safari,6,0,C00021,1
22,47,45,26,27,2,0.5905444927827878,1,Standard,1,4.5,Norte,14.637131086717648,Edge,4,0,C00022,1
23,55,13,1,41,2,0.0168674169842854,6,Basic,1,4.3,Norte,29.73456121056795,Firefox,14,0,C00023,1
24,19,46,18,9,0,0.08167648358065627,7,Basic,1,3.3,Sudeste,39.596326623877346,Firefox,14,0,C00024,1
25,38,18,23,40,6,0.10017034891977694,8,Premium,1,4.7,Norte,13.36894975459669,Chrome,3,0,C00025,1
