id_compra,data_compra,cliente_id,idade_cliente,genero_cliente,produto,quantidade,preco_unitario,cidade
2e1821b8-e57f-4dfd-996e-a52fcf5adbfc,2024-04-15,f8df1734-6e2a-4b76-9fd9-ec6a73d55f91,54.0,Masculino,Óculos de Sol,3,68.12,
d9692b2b-29be-4910-840c-81fc7376f6b6,2024-12-30,de6d9a23-1428-4c6f-bba2-74d09990618c,67.0,Outro,Rasteirinha,2,81.55,Lake Robertside
335cee92-3f98-42a5-8530-b5ceca1b034f,2023-08-28,8e46605c-c76c-455a-8b16-b841fbecf425,,Feminino,Toalha de Praia,100,104.18,Michelleland
89825b18-98ee-465c-baaa-eb4b746934f0,2023-11-24,0ce7c912-6f92-4f70-9907-52d4f812e053,30.0,Masculino,Biquíni,5,143.24,
6b92128b-0caf-4a20-ad07-f5f67e6511f0,2024-05-16,09a34955-ba0c-427d-a69a-20f0a94251d7,58.0,Masculino,Toalha de Praia,100,152.24,
ea5ac0cb-2af1-4c14-a023-d21ce32412b1,2025-01-08,96865353-80d5-4e03-b41b-b04a3b9a31c3,23.0,Outro,Toalha de Praia,1,198.3,Hahnview
4eb25b49-96a4-4319-accc-78f07939cd6b,2023-05-10,c1138378-b67e-4ced-82fb-d02dd420ee17,36.0,Feminino,Toalha de Praia,3,112.37,East Emilyland
9a2f2e4c-fae9-4556-98a5-d74ebc25bd09,2023/06/05,8e00525c-7f3f-4b3a-8170-53728b4121f8,54.0,Masculino,Óculos de Sol,5,46.96,South Robin
a7948619-3000-496b-a4b7-8d11384a5f67,2024-02-05,a77c9c30-fe56-4a27-a9d6-3f1153b58c43,,,Óculos de Sol,3,130.7,
db0d93d8-6680-43e1-ba11-0bf0330ebb3e,2024-04-05,629d843e-f1ff-4b1f-8b21-aa325e4b1f7e,38.0,Feminino,Canga,4,84.27,Lake Stevenmouth
202d7264-9530-4f71-a35b-f339f7ef742c,2025-02-12,ae9418a7-eb67-4a83-a8d1-2bccf891b35d,26.0,Feminino,Protetor Solar,100,148.65,New Joelborough
8f100e7d-46e7-4fbf-b18f-b6584b479665,2023-09-09,df66bb87-12f1-4eb4-a7ba-7101535ba42f,26.0,Outro,Rasteirinha,4,80.34,
bdc9d8c2-671e-44af-8402-bd31a6bf9051,2025-02-06,eda2065a-d44a-4e39-9c3a-4270cde79329,39.0,Feminino,Sunga,4,91.53,
1448d8ff-8355-4735-8aa1-1108b6306235,2023-06-06,a9f3bd9f-b3d3-4973-bdd9-0e3dc79abe6b,68.0,,Biquíni,2,30.72,
d141974c-07b9-48fe-b75a-0461b0559e26,2024-09-12,51226e68-5514-483f-88da-5fe4f2a78b96,51.0,Feminino,Chapéu,3,95.61,Stacyburgh
cfcb577c-2bfc-4a04-845a-3612268631a8,2023-08-16,ecfb60ec-d917-4b90-9932-0d0c8e554560,55.0,,Canga,2,197.72,
a5434ca2-b93d-4457-928f-d86249b1f8c1,2024-05-09,e5c4468d-94d2-440a-bd8f-470f441a5c26,,Masculino,Protetor Solar,100,82.45,Jessicaside
676361fe-ab5f-4b67-a08b-2ded7a1ebb12,2024-12-09,d520235e-ac08-4c7d-8c1b-ff5b8f75a822,18.0,Outro,Protetor Solar,100,118.23,Melissaville
7b8d0aba-eefa-43ba-96e9-5f1eb287384c,2023-05-04,5d3dabfa-60ce-4d22-a6b1-074b10afe972,,Feminino,Toalha de Praia,5,43.95,East Tonyville
77659e9d-ab1c-443a-aa73-13da9eadaa61,2024-02-09,062628ef-4043-4cbc-8877-ba8b2b458a83,,Feminino,Chapéu,3,55.72,
987f0cd9-b895-4fbc-82d9-eb4fae91ddb3,2024-11-24,92150c8d-9881-4f85-93ce-39c32e6d1e76,17.0,Feminino,Rasteirinha,4,83.19,
2f9bf017-6ae1-4262-b054-ff7905d2e1ed,2023-12-03,99663be8-c7fa-42f9-871d-0c7b8f9c356f,39.0,,Protetor Solar,4,178.34,East Miranda
eba6401f-01f2-41db-bf47-8a0fdd239c72,2024-02-17,ce83e933-c811-4d39-afd5-86846f112859,,Masculino,Toalha de Praia,4,142.8,
abcf2efa-772c-41f6-a0cb-d7d1f0782130,2023-12-20,9c38f6d9-fde4-43f7-9aac-c2e7e93a36e0,,Outro,Chapéu,5,74.79,Lake Michelehaven
ab5a3499-a363-4e00-9320-bab94d3a0a08,2023-06-21,cf15abc9-90c7-4582-a9e6-62fe7b1de3f8,,,Protetor Solar,1,105.7,North Richardshire
cff05926-2190-4220-84cd-e94a55a28a20,2024-12-05,abeecc8d-d383-4694-b956-e7e031f13522,17.0,,Biquíni,5,19.78,
7c7a7cc0-4103-40b3-9337-1c93a7cd8676,2024-05-31,1caf1f60-8338-4def-8247-7f14eef5c123,36.0,Outro,Protetor Solar,3,197.84,East Sabrinaburgh
b255446e-c201-4c22-b019-8060fa4c6946,2023-06-07,2e8f10d3-ab63-4613-b18a-3ecf26a9792a,,Masculino,Protetor Solar,2,95.88,
1c89970c-0341-4d11-bb73-6fb2285fddaf,2025-01-18,237a20af-80d7-404a-92d1-96b7b5c8a9ce,27.0,Feminino,Protetor Solar,1,16.06,Brownmouth
a095129e-bb02-4b2f-bd05-fe7693f4064a,2025-01-20,f7022ef1-d0bb-49e8-b629-3f66698f9217,37.0,Feminino,Toalha de Praia,1,138.38,
7e7578da-eeb3-43f9-ab33-36891f26540f,2024-08-11,20e65e79-257d-4bc4-8a5c-fead9dd5a0f5,,Feminino,Sunga,4,157.04,Stoneburgh
4dc628b2-379c-4fc9-9343-bb7623db3066,2024-10-19,c683343d-e21d-41e1-9a59-147b8c5807c8,40.0,Masculino,Sunga,3,116.18,
aa7b52d8-a625-4c39-8c1e-7aae78f6f343,2025-01-14,8eb394ad-f907-45bc-baa0-2b1b84ea16ab,,,Sunga,4,175.91,Nancymouth
ebfb58ee-0948-49cc-a73f-fef3d7a6f6a6,2024-01-27,0cbb5b91-c50b-4254-9259-21e9218fef7d,,Feminino,Toalha de Praia,2,47.81,New Jason
b23d235d-0628-40cd-a160-4b05f21c3fa9,2024-10-25,f6e2ffd2-c158-49e3-90ea-c0024a41979a,,,Óculos de Sol,5,186.75,
9e4f1f7e-bb99-4fd7-801f-dbbcd83e03b5,2024-09-13,0c36508d-7657-4043-b7fb-93c51a4e75a6,43.0,Feminino,Toalha de Praia,100,162.51,
b048ee97-ecbf-430d-9e75-43cecd780148,2024-09-07,ab003bf2-ea18-4003-9d0c-bf0a8c41f7fb,,,Rasteirinha,4,81.01,
04a120c9-3f72-4dc2-a945-033114027f4e,2025-01-10,b6c9ec9a-744a-42da-aeab-621410d73e33,30.0,,Sunga,1,41.59,Jenniferchester
