;;Você está trabalhando no Campus ou em Casa?;;Qual o tempo gasto no trajeto da sua residência até a empresa?;;;;;Qual a sua escolaridade?;;;;;;Qual a sua área de estudo?;;;;;;;;;;;;Você possui dependentes?;;Quantos dependentes você possui?;;;Qual seu conhecimento em inglês?;;;;;Qual seu conhecimento em espanhol?;;;;;Antes de trabalhar na empresa, você tinha experiência em Contact Center?;;;Por quanto tempo você trabalhou em Contact Center?;;;;Qual área de atendimento você atua ou atuou por mais tempo?;;;;;;;;;;Em qual área você trabalhou?;;;;;;;;;;;;Você tem experiência anterior com vendas em outro segmento?;;Você possui disponibilidade pra trabalhar em casa?;;Você possui Desktop ou Notebook?;;;;Qual sistema operacional utiliza?;;;;;Seu dispositivo possui Webcam?;;Você possui Headset USB?;;Você possui internet FIXA em casa?;;Qual a velocidade da sua internet?;;;Pedir ajuda não é sinal de fraqueza.;;;;;Não gosto de situações que requerem que eu me comporte de forma controlada.;;;;;Gosto de dizer o que penso.;;;;;Gosto de fazer as coisas do meu jeito e não ligo para o que possam pensar.;;;;;Não gosto que deveres e responsabilidades que me façam sentir sob pressão.;;;;;Não tenho medo de criticar pessoas em cargos de liderança.;;;;;Gosto de me sentir livre para fazer o que bem entender.;;;;;Gosto de trabalhar sozinho e independentemente.;;;;;Gosto de realizar tarefas melhor do que os outros.;;;;;Gostaria de ser líder em qualquer emprego, profissão, área ou especialidade.;;;;;Gosto de realizar tarefas que, na opinião dos outros , requerem competência e esforço.;;;;;Gosto de ser bem sucedido no que faço.;;;;;Gosto de resolver problemas que são difíceis para os outros.;;;;;Ouvir um “parabéns” é a melhor recompensa.;;;;;A cada dia vejo o desafio de alcançar algo a mais.;;;;;O objetivo de cada esforço é a satisfação total do cliente.;;;;;Sempre tento atingir uma meta audaciosa.;;;;;Gosto de ter tudo planejado com antecedência caso for viajar.;;;;;Gosto de ter minhas coisas organizadas em minha mesa ou local de trabalho.;;;;;Gosto de planejar antes de realizar algo difícil.;;;;;Não quero que alterem meu horário com frequência.;;;;;Muito pode ser alcançado com organização e ordem.;;;;;Tenho ciência de quando realizei bem meu trabalho.;;;;;Gosto de escrever as tarefas que tenho a fazer.;;;;;Sinto-me seguro quando há procedimentos a serem seguidos.;;;;;Sempre olho a data de validade do produto antes de comprá-lo.;;;;;Uso algum tipo de agenda diariamente.;;;;;Gosto de seguir instruções e fazer o que se espera de mim.;;;;;Gosto de compartilhar.;;;;;Gosto de ajudar as pessoas.;;;;;Trato o próximo com gentileza e compaixão.;;;;;Gosto de pessoas que me contam confidências e problemas.;;;;;Perdoo as pessoas que às vezes me machucam.;;;;;Entendo quando alguém precisa de ajuda.;;;;;Se você ouvir alguém com atenção, você entenderá o porquê do humor dele.;;;;;A maioria das pessoas precisam de algum tipo de apoio.;;;;;É bom trabalhar com meus colegas de trabalho.;;;;;Os melhores resultados vêm do trabalho em equipe.;;;;;Baseio meu trabalho em relações interpessoais.;;;;;Fico tenso quando estou trabalhando.;;;;;Providencio soluções para os meus problemas com rapidez.;;;;;Demonstro meu valor nas horas difíceis.;;;;;Falta de tempo não me assusta.;;;;;Pessoas fortes vêm de ambientes competitivos.;;;;;Gosto de ter um trabalho exigente.;;;;
Id_Agente;Cliente;1 - Campus;1 - Casa;2 - Até 30min;2 - De 30min à 1h;2 - De 1h à 1h30;2 - De 1h30 à 2h;2 - Acima de 2h;3 - Ensino Médio completo;3 - Ensino Superior cursando;3 - Ensino Superior concluído;3 - Ensino Superior incompleto;3 - Pós-Graduação cursando;3 - Pós-Graduação concluído;4 - Administração/Negócios;4 - Artes;4 - Comunicação;4 - Direito;4 - Engenharia;4 - Exatas;4 - Finanças;4 - Humanas;4 - Marketing;4 - Saúde;4 - TI;4 - Gestão de Pessoas/Negócios;5 - Sim;5 - Não;6 - 1;6 - 2;6 - 3 ou mais;7 - Básico;7 - Intermediário;7 - Avançado;7 - Fluente;7 - Não tenho conhecimento em inglês;8 - Básico;8 - Intermediário;8 - Avançado;8 - Fluente;8 - Não tenho conhecimento em espanhol;9 - Sim;9 - Não;9 - A empresa é o meu primeiro emprego;10 - Até 6 meses;10 - De 6 meses até 1 ano;10 - De 1 ano até 2 anos;10 - Acima de 2 anos;11 - Atendimento Receptivo;11 - Ativo de Vendas;11 - Backoffice;11 - Chat ou E-mail;11 - Cobrança;11 - Multiskill;11 - Receptivo de Vendas;11 - Retenção;11 - Suporte Técnico;11 - Suporte Técnico com Vendas;12 - Administrativo;12 - Beleza e Estética;12 - Comércio;12 - Educação;12 - Financeiro;12 - Hotelaria;12 - Indústria ou Metalúrgica;12 - Logística;12 - Saúde;12 - Serviços Gerais;12 - Tecnologia;12 - Outros;13 - Sim;13 - Não;14 - Sim;14 - Não;15 - Sim, apenas eu uso;15 - Sim, compartilhado com outras pessoas de casa;15 - Sim, cedido pela empresa;15 - Não;16 - Windows XP;16 - Windows 7;16 - Windows 8;16 - Windows 10;16 - Linux;17 - Sim;17 - Não;18 - Sim;18 - Não;19 - Sim;19 - Não;20 - Até 15 Mbps;20 - Entre 15 e 50 Mbps;20 - Acima de 50 Mbps;21 - 5 - Concordo totalmente;21 - 4 - Concordo;21 - 3 - Indiferente;21 - 2 - Discordo;21 - 1 - Discordo totalmente;22 - 5 - Concordo totalmente;22 - 4 - Concordo;22 - 3 - Indiferente;22 - 2 - Discordo;22 - 1 - Discordo totalmente;23 - 5 - Concordo totalmente;23 - 4 - Concordo;23 - 3 - Indiferente;23 - 2 - Discordo;23 - 1 - Discordo totalmente;24 - 5 - Concordo totalmente;24 - 4 - Concordo;24 - 3 - Indiferente;24 - 2 - Discordo;24 - 1 - Discordo totalmente;25 - 5 - Concordo totalmente;25 - 4 - Concordo;25 - 3 - Indiferente;25 - 2 - Discordo;25 - 1 - Discordo totalmente;26 - 5 - Concordo totalmente;26 - 4 - Concordo;26 - 3 - Indiferente;26 - 2 - Discordo;26 - 1 - Discordo totalmente;27 - 5 - Concordo totalmente;27 - 4 - Concordo;27 - 3 - Indiferente;27 - 2 - Discordo;27 - 1 - Discordo totalmente;28 - 5 - Concordo totalmente;28 - 4 - Concordo;28 - 3 - Indiferente;28 - 2 - Discordo;28 - 1 - Discordo totalmente;29 - 5 - Concordo totalmente;29 - 4 - Concordo;29 - 3 - Indiferente;29 - 2 - Discordo;29 - 1 - Discordo totalmente;30 - 5 - Concordo totalmente;30 - 4 - Concordo;30 - 3 - Indiferente;30 - 2 - Discordo;30 - 1 - Discordo totalmente;31 - 5 - Concordo totalmente;31 - 4 - Concordo;31 - 3 - Indiferente;31 - 2 - Discordo;31 - 1 - Discordo totalmente;32 - 5 - Concordo totalmente;32 - 4 - Concordo;32 - 3 - Indiferente;32 - 2 - Discordo;32 - 1 - Discordo totalmente;33 - 5 - Concordo totalmente;33 - 4 - Concordo;33 - 3 - Indiferente;33 - 2 - Discordo;33 - 1 - Discordo totalmente;34 - 5 - Concordo totalmente;34 - 4 - Concordo;34 - 3 - Indiferente;34 - 2 - Discordo;34 - 1 - Discordo totalmente;35 - 5 - Concordo totalmente;35 - 4 - Concordo;35 - 3 - Indiferente;35 - 2 - Discordo;35 - 1 - Discordo totalmente;36 - 5 - Concordo totalmente;36 - 4 - Concordo;36 - 3 - Indiferente;36 - 2 - Discordo;36 - 1 - Discordo totalmente;37 - 5 - Concordo totalmente;37 - 4 - Concordo;37 - 3 - Indiferente;37 - 2 - Discordo;37 - 1 - Discordo totalmente;38 - 5 - Concordo totalmente;38 - 4 - Concordo;38 - 3 - Indiferente;38 - 2 - Discordo;38 - 1 - Discordo totalmente;39 - 5 - Concordo totalmente;39 - 4 - Concordo;39 - 3 - Indiferente;39 - 2 - Discordo;39 - 1 - Discordo totalmente;40 - 5 - Concordo totalmente;40 - 4 - Concordo;40 - 3 - Indiferente;40 - 2 - Discordo;40 - 1 - Discordo totalmente;41 - 5 - Concordo totalmente;41 - 4 - Concordo;41 - 3 - Indiferente;41 - 2 - Discordo;41 - 1 - Discordo totalmente;42 - 5 - Concordo totalmente;42 - 4 - Concordo;42 - 3 - Indiferente;42 - 2 - Discordo;42 - 1 - Discordo totalmente;43 - 5 - Concordo totalmente;43 - 4 - Concordo;43 - 3 - Indiferente;43 - 2 - Discordo;43 - 1 - Discordo totalmente;44 - 5 - Concordo totalmente;44 - 4 - Concordo;44 - 3 - Indiferente;44 - 2 - Discordo;44 - 1 - Discordo totalmente;45 - 5 - Concordo totalmente;45 - 4 - Concordo;45 - 3 - Indiferente;45 - 2 - Discordo;45 - 1 - Discordo totalmente;46 - 5 - Concordo totalmente;46 - 4 - Concordo;46 - 3 - Indiferente;46 - 2 - Discordo;46 - 1 - Discordo totalmente;47 - 5 - Concordo totalmente;47 - 4 - Concordo;47 - 3 - Indiferente;47 - 2 - Discordo;47 - 1 - Discordo totalmente;48 - 5 - Concordo totalmente;48 - 4 - Concordo;48 - 3 - Indiferente;48 - 2 - Discordo;48 - 1 - Discordo totalmente;49 - 5 - Concordo totalmente;49 - 4 - Concordo;49 - 3 - Indiferente;49 - 2 - Discordo;49 - 1 - Discordo totalmente;50 - 5 - Concordo totalmente;50 - 4 - Concordo;50 - 3 - Indiferente;50 - 2 - Discordo;50 - 1 - Discordo totalmente;51 - 5 - Concordo totalmente;51 - 4 - Concordo;51 - 3 - Indiferente;51 - 2 - Discordo;51 - 1 - Discordo totalmente;52 - 5 - Concordo totalmente;52 - 4 - Concordo;52 - 3 - Indiferente;52 - 2 - Discordo;52 - 1 - Discordo totalmente;53 - 5 - Concordo totalmente;53 - 4 - Concordo;53 - 3 - Indiferente;53 - 2 - Discordo;53 - 1 - Discordo totalmente;54 - 5 - Concordo totalmente;54 - 4 - Concordo;54 - 3 - Indiferente;54 - 2 - Discordo;54 - 1 - Discordo totalmente;55 - 5 - Concordo totalmente;55 - 4 - Concordo;55 - 3 - Indiferente;55 - 2 - Discordo;55 - 1 - Discordo totalmente;56 - 5 - Concordo totalmente;56 - 4 - Concordo;56 - 3 - Indiferente;56 - 2 - Discordo;56 - 1 - Discordo totalmente;57 - 5 - Concordo totalmente;57 - 4 - Concordo;57 - 3 - Indiferente;57 - 2 - Discordo;57 - 1 - Discordo totalmente;58 - 5 - Concordo totalmente;58 - 4 - Concordo;58 - 3 - Indiferente;58 - 2 - Discordo;58 - 1 - Discordo totalmente;59 - 5 - Concordo totalmente;59 - 4 - Concordo;59 - 3 - Indiferente;59 - 2 - Discordo;59 - 1 - Discordo totalmente;60 - 5 - Concordo totalmente;60 - 4 - Concordo;60 - 3 - Indiferente;60 - 2 - Discordo;60 - 1 - Discordo totalmente;61 - 5 - Concordo totalmente;61 - 4 - Concordo;61 - 3 - Indiferente;61 - 2 - Discordo;61 - 1 - Discordo totalmente;62 - 5 - Concordo totalmente;62 - 4 - Concordo;62 - 3 - Indiferente;62 - 2 - Discordo;62 - 1 - Discordo totalmente;63 - 5 - Concordo totalmente;63 - 4 - Concordo;63 - 3 - Indiferente;63 - 2 - Discordo;63 - 1 - Discordo totalmente;64 - 5 - Concordo totalmente;64 - 4 - Concordo;64 - 3 - Indiferente;64 - 2 - Discordo;64 - 1 - Discordo totalmente;65 - 5 - Concordo totalmente;65 - 4 - Concordo;65 - 3 - Indiferente;65 - 2 - Discordo;65 - 1 - Discordo totalmente
1;Cliente 1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Cliente 2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Cliente 2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
4;Cliente 3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
5;Cliente 4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
6;Cliente 5;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
7;Cliente 4;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
8;Cliente 2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
9;Cliente 2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
