Id_Agente;Target
1;1
2;1
3;1
4;0
5;0
6;1
7;0
8;1
9;1
10;1
11;1
12;0
13;1
14;1
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;0
28;0
29;1
30;1
31;1
32;1
33;0
34;0
35;0
36;0
37;1
38;1
39;0
40;0
41;0
42;1
43;0
44;0
45;1
46;1
47;0
48;0
49;1
50;1
51;1
52;1
53;1
54;0
55;1
56;0
57;0
58;1
59;0
60;0
61;0
62;1
63;0
64;0
65;0
66;0
67;1
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;1
80;1
81;0
82;0
83;0
84;1
85;1
86;0
87;0
88;1
89;0
90;0
91;0
92;1
93;0
94;1
95;0
96;1
97;1
98;1
99;0
100;0
101;0
102;1
103;0
104;0
105;1
106;0
107;1
108;1
109;0
110;0
111;1
112;0
113;0
114;0
115;0
116;0
117;0
118;1
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;1
132;0
133;0
134;0
135;1
136;0
137;0
138;0
139;1
140;1
141;1
142;1
143;0
144;1
145;0
146;1
147;1
148;0
149;1
150;0
151;1
152;1
153;1
154;0
155;1
156;1
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;1
168;0
169;0
170;1
171;0
172;0
173;1
174;1
175;0
176;0
177;0
178;0
179;1
180;1
181;0
182;1
183;1
184;1
185;0
186;0
187;1
188;0
189;0
190;0
191;0
192;1
193;0
194;0
195;0
196;0
197;1
198;1
199;1
200;1
201;1
202;1
203;0
204;0
205;0
206;0
207;0
208;1
209;1
210;0
211;1
212;1
213;0
214;0
215;1
216;0
217;0
218;0
219;0
220;0
221;1
222;0
223;1
224;1
225;1
226;0
227;1
228;0
229;0
230;1
231;1
232;0
233;0
234;1
235;1
236;0
237;0
238;0
239;1
240;0
241;1
242;1
243;0
244;0
245;0
246;1
247;1
248;0
249;0
250;1
251;0
252;0
253;1
254;1
255;1
256;0
257;1
258;1
259;0
260;1
261;0
262;1
263;1
264;1
265;1
266;0
267;1
268;1
269;0
270;1
271;1
272;1
273;0
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;0
282;0
283;0
284;0
285;1
286;1
287;1
288;1
289;1
290;1
291;0
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;0
300;1
301;1
302;0
303;1
304;0
305;1
306;1
307;0
308;0
309;0
310;1
311;0
312;0
313;1
314;0
315;0
316;0
317;1
318;1
319;1
320;0
321;1
322;0
323;0
324;0
325;1
326;1
327;0
328;1
329;1
330;1
331;1
332;0
333;1
334;0
335;0
336;1
337;0
338;1
339;0
340;1
341;1
342;0
343;1
344;1
345;1
346;1
347;1
348;1
349;1
350;1
351;1
352;0
353;1
354;1
355;1
356;0
357;0
358;1
359;1
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;1
371;1
372;0
373;1
374;1
375;1
376;1
377;1
378;1
379;1
380;1
381;0
382;1
383;0
384;1
385;1
386;0
387;1
388;0
389;1
390;1
391;1
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;1
400;1
401;0
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;0
412;0
413;0
414;0
415;0
416;1
417;1
418;1
419;0
420;1
421;1
422;1
423;1
424;0
425;1
426;0
427;1
428;1
429;1
430;0
431;0
432;1
433;0
434;1
435;1
436;1
437;1
438;1
439;0
440;0
441;0
442;1
443;1
444;1
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;1
456;0
457;0
458;1
459;1
460;1
461;0
462;1
463;0
464;0
465;1
466;1
467;0
468;1
469;1
470;1
471;1
472;1
473;1
474;1
475;1
476;0
477;1
478;1
479;0
480;1
481;1
482;1
483;1
484;1
485;0
486;1
487;1
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;1
497;0
498;0
499;0
500;1
501;0
502;1
503;1
504;0
505;0
506;0
507;0
508;0
509;0
510;1
511;1
512;1
513;1
514;0
515;0
516;1
517;1
518;0
519;1
520;0
521;0
522;1
523;0
524;0
525;0
526;1
527;1
528;0
529;0
530;0
531;0
532;0
533;1
534;0
535;0
536;1
537;1
538;1
539;1
540;1
541;1
542;1
543;1
544;1
545;0
546;1
547;1
548;1
549;1
550;1
551;0
552;0
553;0
554;1
555;1
556;0
557;0
558;1
559;0
560;1
561;0
562;1
563;1
564;1
565;1
566;0
567;1
568;1
569;1
570;1
571;0
572;1
573;0
574;1
575;1
576;1
577;1
578;0
579;0
580;1
581;1
582;0
583;1
584;1
585;1
586;1
587;1
588;1
589;1
590;0
591;0
592;1
593;1
594;1
595;1
596;1
597;0
598;1
599;1
600;1
