Id_Agente;P 01: Você está trabalhando no Campus ou em Casa?;P 02: Qual o tempo gasto no trajeto da sua residência até a empresa?;P 03: Qual a sua escolaridade?;P 04: Qual a sua área de estudo?;P 05: Você possui dependentes?;P 06: Quantos dependentes você possui?;P 07: Qual seu conhecimento em inglês?;P 08: Qual seu conhecimento em espanhol?;P 09: Antes de trabalhar na empresa, você tinha experiência em Contact Center?;P 10: Por quanto tempo você trabalhou em Contact Center?;P 11: Qual área de atendimento você atua ou atuou por mais tempo?;P 12: Em qual área você trabalhou?;P 13: Você tem experiência anterior com vendas em outro segmento?;P 14: Você possui disponibilidade pra trabalhar em casa?;P 15: Você possui Desktop ou Notebook?;P 16: Qual sistema operacional utiliza?;P 17: Seu dispositivo possui Webcam?;P 18: Você possui Headset USB?;P 19: Você possui internet FIXA em casa?;P 20: Qual a velocidade da sua internet?;P 21: Pedir ajuda não é sinal de fraqueza.;P 22: Não gosto de situações que requerem que eu me comporte de forma controlada.;P 23: Gosto de dizer o que penso.;P 24: Gosto de fazer as coisas do meu jeito e não ligo para o que possam pensar.;P 25: Não gosto que deveres e responsabilidades que me façam sentir sob pressão.;P 26: Não tenho medo de criticar pessoas em cargos de liderança.;P 27: Gosto de me sentir livre para fazer o que bem entender.;P 28: Gosto de trabalhar sozinho e independentemente.;P 29: Gosto de realizar tarefas melhor do que os outros.;P 30: Gostaria de ser líder em qualquer emprego, profissão, área ou especialidade.;P 31: Gosto de realizar tarefas que, na opinião dos outros , requerem competência e esforço.;P 32: Gosto de ser bem sucedido no que faço.;P 33: Gosto de resolver problemas que são difíceis para os outros.;P 34: Ouvir um “parabéns” é a melhor recompensa.;P 35: A cada dia vejo o desafio de alcançar algo a mais.;P 36: O objetivo de cada esforço é a satisfação total do cliente.;P 37: Sempre tento atingir uma meta audaciosa.;P 38: Gosto de ter tudo planejado com antecedência caso for viajar.;P 39: Gosto de ter minhas coisas organizadas em minha mesa ou local de trabalho.;P 40: Gosto de planejar antes de realizar algo difícil.;P 41: Não quero que alterem meu horário com frequência.;P 42: Muito pode ser alcançado com organização e ordem.;P 43: Tenho ciência de quando realizei bem meu trabalho.;P 44: Gosto de escrever as tarefas que tenho a fazer.;P 45: Sinto-me seguro quando há procedimentos a serem seguidos.;P 46: Sempre olho a data de validade do produto antes de comprá-lo.;P 47: Uso algum tipo de agenda diariamente.;P 48: Gosto de seguir instruções e fazer o que se espera de mim.;P 49: Gosto de compartilhar.;P 50: Gosto de ajudar as pessoas.;P 51: Trato o próximo com gentileza e compaixão.;P 52: Gosto de pessoas que me contam confidências e problemas.;P 53: Perdoo as pessoas que às vezes me machucam.;P 54: Entendo quando alguém precisa de ajuda.;P 55: Se você ouvir alguém com atenção, você entenderá o porquê do humor dele.;P 56: A maioria das pessoas precisam de algum tipo de apoio.;P 57: É bom trabalhar com meus colegas de trabalho.;P 58: Os melhores resultados vêm do trabalho em equipe.;P 59: Baseio meu trabalho em relações interpessoais.;P 60: Fico tenso quando estou trabalhando.;P 61: Providencio soluções para os meus problemas com rapidez.;P 62: Demonstro meu valor nas horas difíceis.;P 63: Falta de tempo não me assusta.;P 64: Pessoas fortes vêm de ambientes competitivos.;P 65: Gosto de ter um trabalho exigente.;Cliente;Target
1;1 - Casa;0 - Sem resposta;3 - Ensino Superior incompleto;4 - Humanas;5 - Não;0 - Sem resposta;7 - Intermediário;8 - Intermediário;9 - Não;0 - Sem resposta;0 - Sem resposta;12 - Administrativo;13 - Não;14 - Sim;15 - Sim, cedido pela empresa;16 - Windows 10;17 - Não;18 - Sim;19 - Sim;20 - Acima de 50 Mbps;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;Cliente 1;1
2;1 - Casa;0 - Sem resposta;3 - Ensino Médio completo;0 - Sem resposta;5 - Não;0 - Sem resposta;7 - Não tenho conhecimento em inglês;8 - Não tenho conhecimento em espanhol;9 - Sim;10 - De 6 meses até 1 ano;11 - Atendimento Receptivo;0 - Sem resposta;13 - Sim;14 - Sim;15 - Sim, apenas eu uso;16 - Windows 10;17 - Sim;18 - Sim;19 - Sim;20 - Acima de 50 Mbps;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;Cliente 2;1
3;1 - Casa;0 - Sem resposta;3 - Ensino Superior cursando;4 - Gestão de Pessoas/Negócios;5 - Não;0 - Sem resposta;7 - Intermediário;8 - Não tenho conhecimento em espanhol;9 - Sim;10 - Até 6 meses;11 - Ativo de Vendas;0 - Sem resposta;13 - Não;14 - Sim;15 - Sim, apenas eu uso;16 - Windows 10;17 - Não;18 - Sim;19 - Sim;20 - Acima de 50 Mbps;21 - 4 - Concordo;22 - 2 - Discordo;23 - 2 - Discordo;24 - 2 - Discordo;25 - 3 - Indiferente;26 - 3 - Indiferente;27 - 4 - Concordo;28 - 4 - Concordo;29 - 4 - Concordo;30 - 2 - Discordo;31 - 4 - Concordo;32 - 4 - Concordo;33 - 4 - Concordo;34 - 4 - Concordo;35 - 5 - Concordo totalmente;36 - 4 - Concordo;37 - 4 - Concordo;38 - 5 - Concordo totalmente;39 - 5 - Concordo totalmente;40 - 5 - Concordo totalmente;41 - 4 - Concordo;42 - 4 - Concordo;43 - 4 - Concordo;44 - 3 - Indiferente;45 - 5 - Concordo totalmente;46 - 3 - Indiferente;47 - 4 - Concordo;48 - 4 - Concordo;49 - 3 - Indiferente;50 - 5 - Concordo totalmente;51 - 5 - Concordo totalmente;52 - 4 - Concordo;53 - 5 - Concordo totalmente;54 - 5 - Concordo totalmente;55 - 5 - Concordo totalmente;56 - 5 - Concordo totalmente;57 - 4 - Concordo;58 - 4 - Concordo;59 - 2 - Discordo;60 - 3 - Indiferente;61 - 3 - Indiferente;62 - 4 - Concordo;63 - 3 - Indiferente;64 - 4 - Concordo;65 - 2 - Discordo;Cliente 2;1
4;1 - Casa;0 - Sem resposta;3 - Ensino Superior concluído;4 - Saúde;5 - Não;0 - Sem resposta;7 - Básico;8 - Não tenho conhecimento em espanhol;9 - Não;0 - Sem resposta;0 - Sem resposta;12 - Administrativo;13 - Sim;14 - Sim;15 - Sim, apenas eu uso;16 - Windows 10;17 - Sim;18 - Não;19 - Sim;20 - Acima de 50 Mbps;21 - 5 - Concordo totalmente;22 - 4 - Concordo;23 - 4 - Concordo;24 - 3 - Indiferente;25 - 3 - Indiferente;26 - 4 - Concordo;27 - 3 - Indiferente;28 - 3 - Indiferente;29 - 3 - Indiferente;30 - 2 - Discordo;31 - 4 - Concordo;32 - 4 - Concordo;33 - 4 - Concordo;34 - 4 - Concordo;35 - 4 - Concordo;36 - 4 - Concordo;37 - 4 - Concordo;38 - 3 - Indiferente;39 - 4 - Concordo;40 - 4 - Concordo;41 - 3 - Indiferente;42 - 4 - Concordo;43 - 4 - Concordo;44 - 3 - Indiferente;45 - 4 - Concordo;46 - 3 - Indiferente;47 - 2 - Discordo;48 - 4 - Concordo;49 - 4 - Concordo;50 - 4 - Concordo;51 - 4 - Concordo;52 - 4 - Concordo;53 - 4 - Concordo;54 - 4 - Concordo;55 - 4 - Concordo;56 - 4 - Concordo;57 - 4 - Concordo;58 - 4 - Concordo;59 - 4 - Concordo;60 - 4 - Concordo;61 - 4 - Concordo;62 - 4 - Concordo;63 - 3 - Indiferente;64 - 2 - Discordo;65 - 3 - Indiferente;Cliente 3;0
5;1 - Casa;0 - Sem resposta;3 - Ensino Médio completo;0 - Sem resposta;5 - Não;0 - Sem resposta;7 - Avançado;8 - Básico;9 - Não;0 - Sem resposta;0 - Sem resposta;12 - Administrativo;13 - Sim;14 - Sim;15 - Sim, compartilhado com outras pessoas de casa;16 - Windows 10;17 - Não;18 - Não;19 - Sim;20 - Acima de 50 Mbps;21 - 4 - Concordo;22 - 3 - Indiferente;23 - 4 - Concordo;24 - 2 - Discordo;25 - 3 - Indiferente;26 - 4 - Concordo;27 - 2 - Discordo;28 - 1 - Discordo totalmente;29 - 4 - Concordo;30 - 4 - Concordo;31 - 4 - Concordo;32 - 5 - Concordo totalmente;33 - 5 - Concordo totalmente;34 - 4 - Concordo;35 - 4 - Concordo;36 - 4 - Concordo;37 - 4 - Concordo;38 - 4 - Concordo;39 - 4 - Concordo;40 - 5 - Concordo totalmente;41 - 4 - Concordo;42 - 4 - Concordo;43 - 4 - Concordo;44 - 4 - Concordo;45 - 4 - Concordo;46 - 4 - Concordo;47 - 4 - Concordo;48 - 4 - Concordo;49 - 4 - Concordo;50 - 5 - Concordo totalmente;51 - 4 - Concordo;52 - 4 - Concordo;53 - 4 - Concordo;54 - 4 - Concordo;55 - 3 - Indiferente;56 - 4 - Concordo;57 - 4 - Concordo;58 - 4 - Concordo;59 - 4 - Concordo;60 - 3 - Indiferente;61 - 4 - Concordo;62 - 4 - Concordo;63 - 4 - Concordo;64 - 3 - Indiferente;65 - 3 - Indiferente;Cliente 4;0
6;1 - Campus;2 - De 1h à 1h30;3 - Ensino Médio completo;0 - Sem resposta;5 - Não;0 - Sem resposta;7 - Básico;8 - Não tenho conhecimento em espanhol;9 - Sim;10 - Acima de 2 anos;11 - Atendimento Receptivo;0 - Sem resposta;13 - Não;14 - Sim;15 - Sim, apenas eu uso;16 - Windows 10;17 - Sim;18 - Sim;19 - Sim;20 - Acima de 50 Mbps;21 - 5 - Concordo totalmente;22 - 1 - Discordo totalmente;23 - 4 - Concordo;24 - 1 - Discordo totalmente;25 - 1 - Discordo totalmente;26 - 1 - Discordo totalmente;27 - 1 - Discordo totalmente;28 - 1 - Discordo totalmente;29 - 1 - Discordo totalmente;30 - 5 - Concordo totalmente;31 - 5 - Concordo totalmente;32 - 5 - Concordo totalmente;33 - 5 - Concordo totalmente;34 - 5 - Concordo totalmente;35 - 5 - Concordo totalmente;36 - 5 - Concordo totalmente;37 - 5 - Concordo totalmente;38 - 5 - Concordo totalmente;39 - 5 - Concordo totalmente;40 - 5 - Concordo totalmente;41 - 5 - Concordo totalmente;42 - 5 - Concordo totalmente;43 - 5 - Concordo totalmente;44 - 5 - Concordo totalmente;45 - 5 - Concordo totalmente;46 - 5 - Concordo totalmente;47 - 3 - Indiferente;48 - 5 - Concordo totalmente;49 - 5 - Concordo totalmente;50 - 5 - Concordo totalmente;51 - 5 - Concordo totalmente;52 - 5 - Concordo totalmente;53 - 5 - Concordo totalmente;54 - 5 - Concordo totalmente;55 - 5 - Concordo totalmente;56 - 5 - Concordo totalmente;57 - 5 - Concordo totalmente;58 - 5 - Concordo totalmente;59 - 5 - Concordo totalmente;60 - 3 - Indiferente;61 - 4 - Concordo;62 - 4 - Concordo;63 - 2 - Discordo;64 - 5 - Concordo totalmente;65 - 3 - Indiferente;Cliente 5;1
7;1 - Campus;2 - Acima de 2h;3 - Ensino Médio completo;0 - Sem resposta;5 - Sim;6 - 1;7 - Não tenho conhecimento em inglês;8 - Não tenho conhecimento em espanhol;9 - Sim;10 - Acima de 2 anos;11 - Receptivo de Vendas;0 - Sem resposta;13 - Não;14 - Não;15 - Não;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;21 - 3 - Indiferente;22 - 3 - Indiferente;23 - 3 - Indiferente;24 - 3 - Indiferente;25 - 3 - Indiferente;26 - 3 - Indiferente;27 - 3 - Indiferente;28 - 3 - Indiferente;29 - 3 - Indiferente;30 - 3 - Indiferente;31 - 3 - Indiferente;32 - 3 - Indiferente;33 - 3 - Indiferente;34 - 3 - Indiferente;35 - 3 - Indiferente;36 - 3 - Indiferente;37 - 3 - Indiferente;38 - 3 - Indiferente;39 - 3 - Indiferente;40 - 3 - Indiferente;41 - 3 - Indiferente;42 - 3 - Indiferente;43 - 3 - Indiferente;44 - 3 - Indiferente;45 - 3 - Indiferente;46 - 3 - Indiferente;47 - 3 - Indiferente;48 - 3 - Indiferente;49 - 3 - Indiferente;50 - 3 - Indiferente;51 - 3 - Indiferente;52 - 3 - Indiferente;53 - 3 - Indiferente;54 - 3 - Indiferente;55 - 3 - Indiferente;56 - 3 - Indiferente;57 - 3 - Indiferente;58 - 3 - Indiferente;59 - 3 - Indiferente;60 - 3 - Indiferente;61 - 3 - Indiferente;62 - 3 - Indiferente;63 - 3 - Indiferente;64 - 3 - Indiferente;65 - 3 - Indiferente;Cliente 4;0
8;1 - Casa;0 - Sem resposta;3 - Ensino Superior cursando;4 - Administração/Negócios;5 - Não;0 - Sem resposta;7 - Básico;8 - Básico;9 - Sim;10 - Até 6 meses;11 - Chat ou E-mail;0 - Sem resposta;13 - Sim;14 - Sim;15 - Sim, apenas eu uso;16 - Windows 10;17 - Sim;18 - Sim;19 - Sim;20 - Acima de 50 Mbps;21 - 5 - Concordo totalmente;22 - 1 - Discordo totalmente;23 - 5 - Concordo totalmente;24 - 1 - Discordo totalmente;25 - 1 - Discordo totalmente;26 - 5 - Concordo totalmente;27 - 1 - Discordo totalmente;28 - 1 - Discordo totalmente;29 - 1 - Discordo totalmente;30 - 5 - Concordo totalmente;31 - 5 - Concordo totalmente;32 - 5 - Concordo totalmente;33 - 5 - Concordo totalmente;34 - 5 - Concordo totalmente;35 - 5 - Concordo totalmente;36 - 5 - Concordo totalmente;37 - 5 - Concordo totalmente;38 - 5 - Concordo totalmente;39 - 5 - Concordo totalmente;40 - 5 - Concordo totalmente;41 - 4 - Concordo;42 - 5 - Concordo totalmente;43 - 5 - Concordo totalmente;44 - 5 - Concordo totalmente;45 - 5 - Concordo totalmente;46 - 5 - Concordo totalmente;47 - 5 - Concordo totalmente;48 - 5 - Concordo totalmente;49 - 5 - Concordo totalmente;50 - 5 - Concordo totalmente;51 - 5 - Concordo totalmente;52 - 5 - Concordo totalmente;53 - 5 - Concordo totalmente;54 - 5 - Concordo totalmente;55 - 5 - Concordo totalmente;56 - 5 - Concordo totalmente;57 - 5 - Concordo totalmente;58 - 5 - Concordo totalmente;59 - 5 - Concordo totalmente;60 - 1 - Discordo totalmente;61 - 5 - Concordo totalmente;62 - 5 - Concordo totalmente;63 - 5 - Concordo totalmente;64 - 5 - Concordo totalmente;65 - 5 - Concordo totalmente;Cliente 2;1
9;1 - Casa;0 - Sem resposta;3 - Ensino Médio completo;0 - Sem resposta;5 - Sim;6 - 1;7 - Básico;8 - Básico;9 - Não;0 - Sem resposta;0 - Sem resposta;12 - Hotelaria;13 - Sim;14 - Sim;15 - Sim, compartilhado com outras pessoas de casa;16 - Windows 10;17 - Sim;18 - Não;19 - Sim;20 - Acima de 50 Mbps;21 - 5 - Concordo totalmente;22 - 2 - Discordo;23 - 3 - Indiferente;24 - 2 - Discordo;25 - 1 - Discordo totalmente;26 - 2 - Discordo;27 - 2 - Discordo;28 - 1 - Discordo totalmente;29 - 2 - Discordo;30 - 3 - Indiferente;31 - 4 - Concordo;32 - 5 - Concordo totalmente;33 - 3 - Indiferente;34 - 5 - Concordo totalmente;35 - 4 - Concordo;36 - 4 - Concordo;37 - 4 - Concordo;38 - 5 - Concordo totalmente;39 - 5 - Concordo totalmente;40 - 5 - Concordo totalmente;41 - 3 - Indiferente;42 - 5 - Concordo totalmente;43 - 4 - Concordo;44 - 4 - Concordo;45 - 4 - Concordo;46 - 4 - Concordo;47 - 3 - Indiferente;48 - 4 - Concordo;49 - 4 - Concordo;50 - 4 - Concordo;51 - 4 - Concordo;52 - 4 - Concordo;53 - 4 - Concordo;54 - 4 - Concordo;55 - 3 - Indiferente;56 - 5 - Concordo totalmente;57 - 5 - Concordo totalmente;58 - 5 - Concordo totalmente;59 - 4 - Concordo;60 - 2 - Discordo;61 - 3 - Indiferente;62 - 4 - Concordo;63 - 3 - Indiferente;64 - 3 - Indiferente;65 - 4 - Concordo;Cliente 2;1
10;1 - Campus;2 - Até 30min;3 - Ensino Médio completo;0 - Sem resposta;5 - Não;0 - Sem resposta;7 - Não tenho conhecimento em inglês;8 - Não tenho conhecimento em espanhol;9 - Sim;10 - De 6 meses até 1 ano;11 - Atendimento Receptivo;0 - Sem resposta;13 - Não;14 - Não;15 - Não;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;0 - Sem resposta;Cliente 6;1
