Cotações Diárias dos Bancos Brasileiros - 29/09/2025
TICKER;BANCO;ABERTURA;FECHAMENTO;VOLUME
ITUB4;Itaú Unibanco Holding S.A.;32,50;33,10;52000000
BBDC4;Banco Bradesco S.A.;15,80;16,25;65000000
BBAS3;Banco do Brasil S.A.;58,20;57,90;41000000
SANB11;Santander Brasil S.A.;30,15;30,85;23000000
XPML11;XP Malls FII;115,40;116,10;1500000
BPAC11;BTG Pactual S.A.;35,00;36,50;31000000
ITSA4;Itaúsa S.A.;10,12;10,25;75000000
BIDI11;Banco Inter S.A.;21,50;20,95;18000000
BPAN4;Banco Pan S.A.;8,55;8,75;12000000
ABC Brasil;Banco ABC Brasil S.A.;22,30;22,90;5000000
