data,year,month,passengers
1949-01-01,1949,February,112
1949-02-01,1949,March,118
1949-03-01,1949,April,132
1949-04-01,1949,May,129
1949-05-01,1949,June,121
1949-06-01,1949,July,135
1949-07-01,1949,August,148
1949-08-01,1949,September,148
1949-09-01,1949,October,136
1949-10-01,1949,November,119
1949-11-01,1949,December,104
1949-12-01,1949,,118
1950-01-01,1950,February,115
1950-02-01,1950,March,126
1950-03-01,1950,April,141
1950-04-01,1950,May,135
1950-05-01,1950,June,125
1950-06-01,1950,July,149
1950-07-01,1950,August,170
1950-08-01,1950,September,170
1950-09-01,1950,October,158
1950-10-01,1950,November,133
1950-11-01,1950,December,114
1950-12-01,1950,,140
1951-01-01,1951,February,145
1951-02-01,1951,March,150
1951-03-01,1951,April,178
1951-04-01,1951,May,163
1951-05-01,1951,June,172
1951-06-01,1951,July,178
1951-07-01,1951,August,199
1951-08-01,1951,September,199
1951-09-01,1951,October,184
1951-10-01,1951,November,162
1951-11-01,1951,December,146
1951-12-01,1951,,166
1952-01-01,1952,February,171
1952-02-01,1952,March,180
1952-03-01,1952,April,193
1952-04-01,1952,May,181
1952-05-01,1952,June,183
1952-06-01,1952,July,218
1952-07-01,1952,August,230
1952-08-01,1952,September,242
1952-09-01,1952,October,209
1952-10-01,1952,November,191
1952-11-01,1952,December,172
1952-12-01,1952,,194
1953-01-01,1953,February,196
1953-02-01,1953,March,196
1953-03-01,1953,April,236
1953-04-01,1953,May,235
1953-05-01,1953,June,229
1953-06-01,1953,July,243
1953-07-01,1953,August,264
1953-08-01,1953,September,272
1953-09-01,1953,October,237
1953-10-01,1953,November,211
1953-11-01,1953,December,180
1953-12-01,1953,,201
1954-01-01,1954,February,204
1954-02-01,1954,March,188
1954-03-01,1954,April,235
1954-04-01,1954,May,227
1954-05-01,1954,June,234
1954-06-01,1954,July,264
1954-07-01,1954,August,302
1954-08-01,1954,September,293
1954-09-01,1954,October,259
1954-10-01,1954,November,229
1954-11-01,1954,December,203
1954-12-01,1954,,229
1955-01-01,1955,February,242
1955-02-01,1955,March,233
1955-03-01,1955,April,267
1955-04-01,1955,May,269
1955-05-01,1955,June,270
1955-06-01,1955,July,315
1955-07-01,1955,August,364
1955-08-01,1955,September,347
1955-09-01,1955,October,312
1955-10-01,1955,November,274
1955-11-01,1955,December,237
1955-12-01,1955,,278
1956-01-01,1956,February,284
1956-02-01,1956,March,277
1956-03-01,1956,April,317
1956-04-01,1956,May,313
1956-05-01,1956,June,318
1956-06-01,1956,July,374
1956-07-01,1956,August,413
1956-08-01,1956,September,405
1956-09-01,1956,October,355
1956-10-01,1956,November,306
1956-11-01,1956,December,271
1956-12-01,1956,,306
1957-01-01,1957,February,315
1957-02-01,1957,March,301
1957-03-01,1957,April,356
1957-04-01,1957,May,348
1957-05-01,1957,June,355
1957-06-01,1957,July,422
1957-07-01,1957,August,465
1957-08-01,1957,September,467
1957-09-01,1957,October,404
1957-10-01,1957,November,347
1957-11-01,1957,December,305
1957-12-01,1957,,336
1958-01-01,1958,February,340
1958-02-01,1958,March,318
1958-03-01,1958,April,362
1958-04-01,1958,May,348
1958-05-01,1958,June,363
1958-06-01,1958,July,435
1958-07-01,1958,August,491
1958-08-01,1958,September,505
1958-09-01,1958,October,404
1958-10-01,1958,November,359
1958-11-01,1958,December,310
1958-12-01,1958,,337
1959-01-01,1959,February,360
1959-02-01,1959,March,342
1959-03-01,1959,April,406
1959-04-01,1959,May,396
1959-05-01,1959,June,420
1959-06-01,1959,July,472
1959-07-01,1959,August,548
1959-08-01,1959,September,559
1959-09-01,1959,October,463
1959-10-01,1959,November,407
1959-11-01,1959,December,362
1959-12-01,1959,,405
1960-01-01,1960,February,417
1960-02-01,1960,March,391
1960-03-01,1960,April,419
1960-04-01,1960,May,461
1960-05-01,1960,June,472
1960-06-01,1960,July,535
1960-07-01,1960,August,622
1960-08-01,1960,September,606
1960-09-01,1960,October,508
1960-10-01,1960,November,461
1960-11-01,1960,December,390
1960-12-01,1960,,432
