original_title,genres,popularity,original_language,production_countries,revenue,budget,estimated_profit
Avatar,"['Action', 'Adventure', 'Fantasy']",185.070892,en,"['US', 'GB']",2787965087.0,237000000.0,2550965087.0
Star Wars: The Force Awakens,"['Action', 'Adventure', 'Science Fiction']",31.626013,en,['US'],2068223624.0,245000000.0,1823223624.0
Titanic,"['Drama', 'Romance', 'Thriller']",26.88907,en,['US'],1845034188.0,200000000.0,1645034188.0
Jurassic World,"['Action', 'Adventure', 'Science Fiction']",32.790475,en,['US'],1513528810.0,150000000.0,1363528810.0
Furious 7,['Action'],27.275687,en,"['JP', 'US']",1506249360.0,190000000.0,1316249360.0
The Avengers,"['Science Fiction', 'Action', 'Adventure']",89.887648,en,['US'],1519557910.0,220000000.0,1299557910.0
Harry Potter and the Deathly Hallows: Part 2,"['Family', 'Fantasy', 'Adventure']",24.990737,en,"['GB', 'US']",1342000000.0,125000000.0,1217000000.0
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",37.37942,en,['US'],1405403694.0,280000000.0,1125403694.0
Frozen,"['Animation', 'Adventure', 'Family']",24.248243,en,['US'],1274219009.0,150000000.0,1124219009.0
Beauty and the Beast,"['Family', 'Fantasy', 'Romance']",287.253654,en,"['GB', 'US']",1262886337.0,160000000.0,1102886337.0
Minions,"['Family', 'Animation', 'Adventure']",547.488298,en,['US'],1156730962.0,74000000.0,1082730962.0
The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",29.324358,en,"['NZ', 'US']",1118888979.0,94000000.0,1024888979.0
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",23.721243,en,"['CN', 'US']",1215439994.0,200000000.0,1015439994.0
The Fate of the Furious,"['Action', 'Crime', 'Thriller']",48.573287,en,['US'],1238764765.0,250000000.0,988764765.0
Despicable Me 3,"['Action', 'Animation', 'Adventure']",36.631519,en,['US'],1020063384.0,80000000.0,940063384.0
Transformers: Dark of the Moon,"['Action', 'Science Fiction', 'Adventure']",4.503505,en,['US'],1123746996.0,195000000.0,928746996.0
Skyfall,"['Action', 'Adventure', 'Thriller']",20.309585,en,"['GB', 'US']",1108561013.0,200000000.0,908561013.0
Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",145.882135,en,['US'],1153304495.0,250000000.0,903304495.0
Despicable Me 2,"['Animation', 'Comedy', 'Family']",24.82355,en,['US'],970761885.0,76000000.0,894761885.0
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",18.495599,en,['US'],1091405097.0,210000000.0,881405097.0
Zootopia,"['Animation', 'Adventure', 'Family']",26.024868,en,['US'],1023784195.0,150000000.0,873784195.0
Toy Story 3,"['Animation', 'Family', 'Comedy']",16.96647,en,['US'],1066969703.0,200000000.0,866969703.0
Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",29.455314,en,['US'],1065659812.0,200000000.0,865659812.0
Jurassic Park,"['Adventure', 'Science Fiction']",8.863776,en,['US'],920100000.0,63000000.0,857100000.0
