original_title,genres,popularity,original_language,production_countries,imdb_score
The Shawshank Redemption,"['Drama', 'Crime']",51.645403,English,['US'],8.445869118856711
The Godfather,"['Drama', 'Crime']",41.109264,English,['US'],8.425438737778375
Dilwale Dulhania Le Jayenge,"['Comedy', 'Drama', 'Romance']",34.457024,Hindi,['IN'],8.42145329405782
The Dark Knight,"['Drama', 'Action', 'Crime']",123.167259,English,"['GB', 'US']",8.26547696149501
Fight Club,['Drama'],63.869599,English,"['DE', 'US']",8.256384748365672
Pulp Fiction,"['Thriller', 'Crime']",140.950236,English,['US'],8.251405793252715
Schindler's List,"['Drama', 'History', 'War']",41.725123,English,['US'],8.20663906754166
Whiplash,['Drama'],64.29999,English,['US'],8.205404134572635
千と千尋の神隠し,"['Fantasy', 'Adventure', 'Animation']",41.048867,Japanese,['JP'],8.196054543222257
La vita è bella,"['Comedy', 'Drama']",39.39497,Italian,['IT'],8.187171484202333
The Godfather: Part II,"['Drama', 'Crime']",36.629307,English,['US'],8.18007634276732
One Flew Over the Cuckoo's Nest,['Drama'],35.529554,English,['US'],8.164255980519288
Forrest Gump,"['Comedy', 'Drama', 'Romance']",48.307194,English,['US'],8.150272439439204
The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']",19.470959,English,['US'],8.13291866749293
Psycho,"['Drama', 'Horror', 'Thriller']",36.826309,English,['US'],8.132714680086343
Intouchables,"['Drama', 'Comedy']",16.086919,French,['FR'],8.125837191099006
君の名は。,"['Romance', 'Animation', 'Drama']",34.461252,Japanese,['JP'],8.112532062539051
Léon,"['Thriller', 'Crime', 'Drama']",20.477329,French,"['FR', 'US']",8.10723403422894
The Green Mile,"['Fantasy', 'Drama', 'Crime']",19.96678,English,['US'],8.104510669075697
GoodFellas,"['Drama', 'Crime']",15.424092,English,['US'],8.077458663429685
American History X,['Drama'],18.157166,English,['US'],8.07405888854313
Inception,"['Action', 'Thriller', 'Science Fiction']",29.108149,English,"['GB', 'US']",8.072104893180292
Interstellar,"['Adventure', 'Drama', 'Science Fiction']",32.213481,English,"['CA', 'US', 'GB']",8.065005125092224
The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",29.324358,English,"['NZ', 'US']",8.052648837875205
Star Wars,"['Adventure', 'Action', 'Science Fiction']",42.149697,English,['US'],8.042766381438666
Se7en,"['Crime', 'Mystery', 'Thriller']",18.45743,English,['US'],8.034635910192833
12 Angry Men,['Drama'],16.503959,English,['US'],8.019612731188413
The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",4.307222,English,['US'],8.015674910686231
ハウルの動く城,"['Fantasy', 'Animation', 'Adventure']",16.136048,Japanese,['JP'],8.012998259131493
もののけ姫,"['Adventure', 'Fantasy', 'Animation']",17.166725,Japanese,['JP'],8.012318561754416
Memento,"['Mystery', 'Thriller']",15.450789,English,['US'],8.008251653054868
The Shining,"['Horror', 'Thriller']",19.611589,English,"['US', 'GB']",8.00195386528925
Reservoir Dogs,"['Crime', 'Thriller']",12.22034,English,['US'],8.000254497468342
Cidade de Deus,"['Drama', 'Crime']",14.95927,Portuguese,"['BR', 'FR']",7.994688446531544
The Usual Suspects,"['Drama', 'Crime', 'Thriller']",16.302466,English,['US'],7.986351790046213
Room,"['Drama', 'Thriller']",12.443291,English,"['CA', 'IE']",7.967549417752324
Dead Poets Society,['Drama'],19.905716,English,['US'],7.965211525601313
Once Upon a Time in America,"['Drama', 'Crime']",32.182851,English,"['US', 'IT']",7.960532558877746
The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",32.070725,English,"['NZ', 'US']",7.957900260099588
Taxi Driver,"['Crime', 'Drama']",14.092713,English,['US'],7.957776917772732
Rear Window,"['Drama', 'Mystery', 'Thriller']",17.911314,English,['US'],7.9557144615147655
The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']",29.423537,English,"['NZ', 'US']",7.951148975057232
"Il buono, il brutto, il cattivo",['Western'],16.788787,Italian,"['US', 'IT', 'ES']",7.943110689222232
Back to the Future,"['Adventure', 'Comedy', 'Science Fiction']",25.778509,English,['US'],7.940445875046331
The Imitation Game,"['History', 'Drama', 'Thriller']",31.59594,English,['GB'],7.937062453248798
The Lion King,"['Family', 'Animation', 'Drama']",21.605761,English,['US'],7.932907245496738
The Grand Budapest Hotel,"['Comedy', 'Drama']",14.442048,English,"['GB', 'US', 'DE']",7.920673012993645
The Prestige,"['Drama', 'Mystery', 'Thriller']",16.94556,English,['US'],7.918396821075261
The Pianist,"['Drama', 'War']",14.811594,English,"['FR', 'DE', 'PL']",7.909733183718959
A Clockwork Orange,"['Science Fiction', 'Drama']",17.112594,English,"['GB', 'US']",7.8939067801841505
Scarface,"['Action', 'Crime', 'Drama']",11.299673,English,['US'],7.880048207246292
Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']",53.291601,English,"['GB', 'US']",7.864115702223459
